example;implementation;mean_time;median_time;min_time;cost;data;intensity;idx;slowdown;speedup;cost_rel;intensity_ref
application001;algorithm2;0.00237563555;0.0023534215000000002;0.002318174;669666666.6666666;1251500.0;535.0912238646956;2;0.7328799387436763;1.3644799743246192;1.0;535.0912238646956
application002;algorithm0;0.0329766452;0.033294279;0.025113343000000003;9009250000.999998;4376500.0;2058.55135405004;0;1.0;1.0;1.0;2058.55135405004
application003;algorithm24;0.015973518;0.015750221000000002;0.014892691999999999;4341337333.333333;2004500.0;2165.7956265070256;24;0.9783165670067755;1.0221640251473676;1.0000004606877484;2165.7946287519744
application004;algorithm67;0.025107038650000003;0.023072819;0.022763826;4351338334.333333;2006500.0;2168.6211484342552;67;0.8294309143696761;1.205645922614239;1.0000004596289154;2168.620151673727
application005;algorithm7;0.12497836150000001;0.125019347;0.121990739;50682666666.66666;10002999.0;5066.747149196623;7;0.9747106894984463;1.0259454531216505;1.0;5066.747149196623
application006;algorithm2;0.008587008999999998;0.0084519225;0.008225818000000001;3283066666.6666665;13640000.0;240.69403714565001;2;0.9846532659406694;1.0155859271381886;1.0;240.69403714565001
application007;algorithm63;0.1142580684;0.11391929;0.112307991;37868666667.66666;9200000.0;4116.159420398551;63;0.9513025195872847;1.0511903200191695;1.0000316894713484;4116.028985615942
application008;algorithm7;0.6475727301499999;0.6427742114999999;0.611615228;294533933334.3333;20200000.0;14580.88778882838;7;0.9748735686132853;1.0257740410609921;1.000002037120869;14580.858085858083
application009;algorithm15;0.0110922364;0.011107502;0.010863033999999999;5413733333.333333;8700000.0;622.2681992337165;15;0.9882192768291643;1.01192116309311;1.0000738916256158;622.2222222222222
application010;algorithm0;0.17271802785000004;0.1722006775;0.170621705;66726671668.66665;5008002.0;13324.010587189594;0;1.0;1.0;1.0;13324.010587189594
application011;algorithm50;0.05634269715000001;0.056221006500000004;0.053442859;15363338334.333332;15005500.0;1023.847145002388;50;0.9399014921967024;1.0639412835305087;1.0006516500216684;1023.1803894794133
application012;algorithm2;1.8028991592999997;1.828117549;1.67866987;1066291666666.6667;115000000.0;9272.101449275364;2;0.9683501646163392;1.032684287709292;1.0;9272.101449275364
application013;algorithm8;1.5928379638999997;1.6328909395000002;1.514584514;1066291666666.6667;115000000.0;9272.101449275364;8;0.9639412924092602;1.0374075764516895;1.0;9272.101449275364
application014;algorithm0;3.2344615245500004;3.2467752599999997;2.8889519640000003;1816341671668.6665;177500000.0;10232.910826302346;0;1.0;1.0;1.0;10232.910826302346
application015;algorithm0;0.47601618619999997;0.47603834850000004;0.444863215;265224171667.6667;40000000.0;6630.604291691668;0;1.0;1.0;1.0;6630.604291691668
application016;algorithm13;0.023013869600000004;0.022507027500000002;0.020950684;10475885419.666668;9125001.0;1148.0421119588555;13;0.9677025611317472;1.033375378102214;1.0;1148.0421119588555
application017;algorithm42;0.021926599050000002;0.021466898;0.020614514;7739631835.333333;8625001.0;897.3485145489644;42;0.978992505342438;1.0214582793462896;1.0000000807532017;897.3484420852047
application018;algorithm19;0.00086252535;0.0008472475;0.0008122369999999999;139946666.66666666;641600.0;218.1213632585204;19;0.926260606979823;1.0796097690698654;1.0606305578011315;205.6525353283458
application019;algorithm7;0.0008690628500000001;0.0008704685000000001;0.0007851900000000001;123946866.66666669;601601.0;206.0283587737831;7;0.6904250230379089;1.4483831938766412;1.000001613597246;206.0280263275272
application020;algorithm49;0.007869354200000001;0.007853034000000002;0.0074843270000000016;3844026866.6666665;5121700.0;750.5372955594171;49;0.9910910317860947;1.008989051386985;1.0000000520287753;750.5372565098828
application021;algorithm81;0.010088398250000002;0.010103341500000002;0.009819226;3844107067.6666665;5121700.0;750.5529546179329;81;0.6619421484371945;1.5107060373190313;1.00000005202769;750.5529155683985
application022;algorithm22;0.03082377915;0.0306297095;0.028948836;14316168166.666666;6127750.0;2336.2846341098552;22;0.9551830232306222;1.0469197794343095;1.0000001047766511;2336.284389321801
application023;algorithm0;0.09212557684999999;0.0922036005;0.090722877;27647252001.0;6127750.0;4511.811350169312;0;1.0;1.0;1.0;4511.811350169312
application024;algorithm5;0.08398321025;0.08346907;0.08155762600000001;43146000001.0;16127750.0;2675.264683604347;5;0.9617020830016922;1.0398230571350862;1.0;2675.264683604347
